Weight,PressureAltitude,OAT,Distance
10000,0,-10,1490
10500,0,-10,1590
11000,0,-10,1690
11500,0,-10,1800
12000,0,-10,1910
12500,0,-10,2030
10000,0,0,1540
10500,0,0,1640
11000,0,0,1740
11500,0,0,1850
12000,0,0,1960
12500,0,0,2080
10000,0,10,1590
10500,0,10,1690
11000,0,10,1790
11500,0,10,1900
12000,0,10,2010
12500,0,10,2140
10000,0,20,1650
10500,0,20,1750
11000,0,20,1850
11500,0,20,1960
12000,0,20,2070
12500,0,20,2200
10000,0,30,1700
10500,0,30,1800
11000,0,30,1910
11500,0,30,2020
12000,0,30,2130
12500,0,30,2270
10000,0,40,1760
10500,0,40,1860
11000,0,40,1970
11500,0,40,2080
12000,0,40,2190
12500,0,40,2330
10000,2000,-10,1550
10500,2000,-10,1650
11000,2000,-10,1750
11500,2000,-10,1860
12000,2000,-10,1970
12500,2000,-10,2100
10000,2000,0,1610
10500,2000,0,1710
11000,2000,0,1810
11500,2000,0,1920
12000,2000,0,2030
12500,2000,0,2160
10000,2000,10,1670
10500,2000,10,1770
11000,2000,10,1870
11500,2000,10,1980
12000,2000,10,2090
12500,2000,10,2230
10000,2000,20,1720
10500,2000,20,1820
11000,2000,20,1920
11500,2000,20,2030
12000,2000,20,2140
12500,2000,20,2280
10000,2000,30,1780
10500,2000,30,1880
11000,2000,30,1980
11500,2000,30,2090
12000,2000,30,2200
12500,2000,30,2340
10000,2000,40,1830
10500,2000,40,1930
11000,2000,40,2030
11500,2000,40,2140
12000,2000,40,2250
12500,2000,40,2390
10000,4000,-10,1610
10500,4000,-10,1710
11000,4000,-10,1810
11500,4000,-10,1920
12000,4000,-10,2030
12500,4000,-10,2170
10000,4000,0,1670
10500,4000,0,1770
11000,4000,0,1870
11500,4000,0,1980
12000,4000,0,2090
12500,4000,0,2230
10000,4000,10,1720
10500,4000,10,1820
11000,4000,10,1920
11500,4000,10,2030
12000,4000,10,2140
12500,4000,10,2280
10000,4000,20,1780
10500,4000,20,1880
11000,4000,20,1980
11500,4000,20,2090
12000,4000,20,2200
12500,4000,20,2340
10000,4000,30,1830
10500,4000,30,1930
11000,4000,30,2030
11500,4000,30,2140
12000,4000,30,2250
12500,4000,30,2390
10000,4000,40,1890
10500,4000,40,1990
11000,4000,40,2090
11500,4000,40,2200
12000,4000,40,2310
12500,4000,40,2450
10000,6000,-10,1670
10500,6000,-10,1770
11000,6000,-10,1870
11500,6000,-10,1980
12000,6000,-10,2090
12500,6000,-10,2230
10000,6000,0,1720
10500,6000,0,1820
11000,6000,0,1920
11500,6000,0,2030
12000,6000,0,2140
12500,6000,0,2280
10000,6000,10,1780
10500,6000,10,1880
11000,6000,10,1980
11500,6000,10,2090
12000,6000,10,2200
12500,6000,10,2340
10000,6000,20,1830
10500,6000,20,1930
11000,6000,20,2030
11500,6000,20,2140
12000,6000,20,2250
12500,6000,20,2390
10000,6000,30,1890
10500,6000,30,1990
11000,6000,30,2090
11500,6000,30,2200
12000,6000,30,2310
12500,6000,30,2450
10000,6000,40,1940
10500,6000,40,2040
11000,6000,40,2140
11500,6000,40,2250
12000,6000,40,2360
12500,6000,40,2500
10000,8000,-10,1720
10500,8000,-10,1820
11000,8000,-10,1920
11500,8000,-10,2030
12000,8000,-10,2140
12500,8000,-10,2280
10000,8000,0,1780
10500,8000,0,1880
11000,8000,0,1980
11500,8000,0,2090
12000,8000,0,2200
12500,8000,0,2340
10000,8000,10,1830
10500,8000,10,1930
11000,8000,10,2030
11500,8000,10,2140
12000,8000,10,2250
12500,8000,10,2390
10000,8000,20,1890
10500,8000,20,1990
11000,8000,20,2090
11500,8000,20,2200
12000,8000,20,2310
12500,8000,20,2450
10000,8000,30,1940
10500,8000,30,2040
11000,8000,30,2140
11500,8000,30,2250
12000,8000,30,2360
12500,8000,30,2500
10000,800
